"Step","56gn10wr02bs4ep12accelerator - train/loss","56gn10wr02bs4ep12accelerator - train/loss__MIN","56gn10wr02bs4ep12accelerator - train/loss__MAX","224gn03wr03bs4ep8accelerator - train/loss","224gn03wr03bs4ep8accelerator - train/loss__MIN","224gn03wr03bs4ep8accelerator - train/loss__MAX","112gn03wr03bs4ep8accelerator - train/loss","112gn03wr03bs4ep8accelerator - train/loss__MIN","112gn03wr03bs4ep8accelerator - train/loss__MAX","28gn1wr02bs4ep20accelerator - train/loss","28gn1wr02bs4ep20accelerator - train/loss__MIN","28gn1wr02bs4ep20accelerator - train/loss__MAX"
"180","0.0678","0.0678","0.0678","0.1314","0.1314","0.1314","0.0758","0.0758","0.0758","0.0339","0.0339","0.0339"
"182","0.0736","0.0736","0.0736","0.1566","0.1566","0.1566","0.1165","0.1165","0.1165","0.0341","0.0341","0.0341"
"184","0.1609","0.1609","0.1609","0.144","0.144","0.144","0.1807","0.1807","0.1807","0.0284","0.0284","0.0284"
"186","0.0928","0.0928","0.0928","0.1881","0.1881","0.1881","0.126","0.126","0.126","0.0238","0.0238","0.0238"
"188","0.1158","0.1158","0.1158","0.2122","0.2122","0.2122","0.1913","0.1913","0.1913","0.03","0.03","0.03"
"190","0.111","0.111","0.111","0.1941","0.1941","0.1941","0.1262","0.1262","0.1262","0.0306","0.0306","0.0306"
"192","0.0991","0.0991","0.0991","0.2146","0.2146","0.2146","0.106","0.106","0.106","0.0299","0.0299","0.0299"
"194","0.1269","0.1269","0.1269","0.2733","0.2733","0.2733","0.1538","0.1538","0.1538","0.0564","0.0564","0.0564"
"196","0.0604","0.0604","0.0604","0.1535","0.1535","0.1535","0.0744","0.0744","0.0744","0.026","0.026","0.026"
"198","0.0957","0.0957","0.0957","0.1925","0.1925","0.1925","0.1095","0.1095","0.1095","0.0217","0.0217","0.0217"
"200","0.1225","0.1225","0.1225","0.2587","0.2587","0.2587","0.1337","0.1337","0.1337","0.0201","0.0201","0.0201"
"202","0.0556","0.0556","0.0556","0.1929","0.1929","0.1929","0.0788","0.0788","0.0788","0.0501","0.0501","0.0501"
"204","0.0761","0.0761","0.0761","0.1238","0.1238","0.1238","0.1662","0.1662","0.1662","0.0244","0.0244","0.0244"
"206","0.0639","0.0639","0.0639","0.0763","0.0763","0.0763","0.1761","0.1761","0.1761","0.0226","0.0226","0.0226"
"208","0.0768","0.0768","0.0768","0.1492","0.1492","0.1492","0.1197","0.1197","0.1197","0.0175","0.0175","0.0175"
"210","0.0899","0.0899","0.0899","0.1184","0.1184","0.1184","0.1411","0.1411","0.1411","0.0196","0.0196","0.0196"
"212","0.0464","0.0464","0.0464","0.1001","0.1001","0.1001","0.1357","0.1357","0.1357","0.0432","0.0432","0.0432"
"214","0.0801","0.0801","0.0801","0.2084","0.2084","0.2084","0.0753","0.0753","0.0753","0.0217","0.0217","0.0217"
"216","0.0638","0.0638","0.0638","0.1527","0.1527","0.1527","0.1045","0.1045","0.1045","0.0163","0.0163","0.0163"
"218","0.1026","0.1026","0.1026","0.1585","0.1585","0.1585","0.1956","0.1956","0.1956","0.0176","0.0176","0.0176"
"220","0.1","0.1","0.1","0.1332","0.1332","0.1332","0.0909","0.0909","0.0909","0.0184","0.0184","0.0184"
"222","0.0901","0.0901","0.0901","0.1106","0.1106","0.1106","0.0716","0.0716","0.0716","0.0151","0.0151","0.0151"
"224","0.037","0.037","0.037","0.13","0.13","0.13","0.2386","0.2386","0.2386","0.018","0.018","0.018"
"226","0.0894","0.0894","0.0894","0.2063","0.2063","0.2063","0.0931","0.0931","0.0931","0.0158","0.0158","0.0158"
"228","0.0398","0.0398","0.0398","0.138","0.138","0.138","0.1104","0.1104","0.1104","0.0156","0.0156","0.0156"
"230","0.1057","0.1057","0.1057","0.1342","0.1342","0.1342","0.1271","0.1271","0.1271","0.0163","0.0163","0.0163"
"232","0.058","0.058","0.058","0.2556","0.2556","0.2556","0.1026","0.1026","0.1026","0.0345","0.0345","0.0345"
"234","0.0371","0.0371","0.0371","0.0941","0.0941","0.0941","0.0781","0.0781","0.0781","0.0165","0.0165","0.0165"
"236","0.0357","0.0357","0.0357","0.2266","0.2266","0.2266","0.1364","0.1364","0.1364","0.0148","0.0148","0.0148"
"238","0.1066","0.1066","0.1066","0.1945","0.1945","0.1945","0.1586","0.1586","0.1586","0.0139","0.0139","0.0139"
"240","0.0389","0.0389","0.0389","0.1215","0.1215","0.1215","0.0458","0.0458","0.0458","0.0133","0.0133","0.0133"
"242","0.0659","0.0659","0.0659","0.2433","0.2433","0.2433","0.0913","0.0913","0.0913","0.0325","0.0325","0.0325"
"244","0.066","0.066","0.066","0.2288","0.2288","0.2288","0.0783","0.0783","0.0783","0.0142","0.0142","0.0142"
"246","0.0847","0.0847","0.0847","0.1373","0.1373","0.1373","0.0455","0.0455","0.0455","0.0142","0.0142","0.0142"
"248","0.0411","0.0411","0.0411","0.1318","0.1318","0.1318","0.1061","0.1061","0.1061","0.0156","0.0156","0.0156"
"250","0.0514","0.0514","0.0514","0.1232","0.1232","0.1232","0.0445","0.0445","0.0445","0.0167","0.0167","0.0167"
"252","0.0584","0.0584","0.0584","0.1096","0.1096","0.1096","0.0639","0.0639","0.0639","0.0137","0.0137","0.0137"
"254","0.0306","0.0306","0.0306","0.1713","0.1713","0.1713","0.0701","0.0701","0.0701","0.0133","0.0133","0.0133"
"256","0.0306","0.0306","0.0306","0.0706","0.0706","0.0706","0.187","0.187","0.187","0.014","0.014","0.014"
"258","0.0726","0.0726","0.0726","0.1275","0.1275","0.1275","0.0476","0.0476","0.0476","0.0143","0.0143","0.0143"
"260","0.0677","0.0677","0.0677","0.0692","0.0692","0.0692","0.1107","0.1107","0.1107","0.0131","0.0131","0.0131"
"262","0.0449","0.0449","0.0449","0.1575","0.1575","0.1575","0.0812","0.0812","0.0812","0.0159","0.0159","0.0159"
"264","0.0409","0.0409","0.0409","0.0775","0.0775","0.0775","0.048","0.048","0.048","0.0276","0.0276","0.0276"
"266","0.0427","0.0427","0.0427","0.1969","0.1969","0.1969","0.0628","0.0628","0.0628","0.0131","0.0131","0.0131"
"268","0.0271","0.0271","0.0271","0.1656","0.1656","0.1656","0.0657","0.0657","0.0657","0.014","0.014","0.014"
"270","0.0273","0.0273","0.0273","0.0591","0.0591","0.0591","0.0816","0.0816","0.0816","0.0269","0.0269","0.0269"
"272","0.0501","0.0501","0.0501","0.1067","0.1067","0.1067","0.1404","0.1404","0.1404","0.0142","0.0142","0.0142"
"274","0.035","0.035","0.035","0.0781","0.0781","0.0781","0.093","0.093","0.093","0.0133","0.0133","0.0133"
"276","0.0311","0.0311","0.0311","0.0795","0.0795","0.0795","0.1175","0.1175","0.1175","0.0134","0.0134","0.0134"
"278","0.1093","0.1093","0.1093","0.1633","0.1633","0.1633","0.167","0.167","0.167","0.0142","0.0142","0.0142"
"280","0.0752","0.0752","0.0752","0.1294","0.1294","0.1294","0.0766","0.0766","0.0766","","",""
"282","0.0247","0.0247","0.0247","0.0554","0.0554","0.0554","0.0949","0.0949","0.0949","","",""
"284","0.0536","0.0536","0.0536","0.0578","0.0578","0.0578","0.1114","0.1114","0.1114","","",""
"286","0.0269","0.0269","0.0269","0.1324","0.1324","0.1324","0.0281","0.0281","0.0281","","",""
"288","0.021","0.021","0.021","0.1344","0.1344","0.1344","0.1141","0.1141","0.1141","","",""
"290","0.0379","0.0379","0.0379","0.1158","0.1158","0.1158","0.1468","0.1468","0.1468","","",""
"292","0.0324","0.0324","0.0324","0.2406","0.2406","0.2406","0.0379","0.0379","0.0379","","",""
"294","0.0256","0.0256","0.0256","0.1334","0.1334","0.1334","0.0996","0.0996","0.0996","","",""
"296","0.0231","0.0231","0.0231","0.1511","0.1511","0.1511","0.0485","0.0485","0.0485","","",""
"298","0.0326","0.0326","0.0326","0.1563","0.1563","0.1563","0.0681","0.0681","0.0681","","",""
"300","0.0627","0.0627","0.0627","0.1248","0.1248","0.1248","0.081","0.081","0.081","","",""
"302","0.0614","0.0614","0.0614","0.107","0.107","0.107","0.0305","0.0305","0.0305","","",""
